"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1937-01","1937","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1937-02","1937","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1937-03","1937","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1937-04","1937","04","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1937-05","1937","05","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1937-06","1937","06","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1937-07","1937","07","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1937-08","1937","08","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1937-09","1937","09","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1937-10","1937","10","11.9","","0.2","","6.1","","23.9","","-6.7","","4.1","","0.0","T","4.1","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1937-11","1937","11","","M","-12.1","","","M","","M","-30.0","","0.0","","28.2","","28.2","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1937-12","1937","12","-9.7","","-20.3","","-15.0","","7.2","","-37.2","","0.0","T","11.7","","11.7","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1938-01","1938","01","-3.6","","-15.2","","-9.4","","6.1","S","-36.7","","0.0","","14.0","","14.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1938-02","1938","02","-11.5","","-22.2","","-16.9","","13.9","","-38.9","","0.0","","11.9","","11.9","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1938-03","1938","03","4.6","","-6.3","","-0.9","","16.7","","-17.8","","1.0","","3.8","","4.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1938-04","1938","04","11.1","","-2.2","","4.5","","21.7","","-11.1","","0.0","T","12.4","","12.4","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1938-05","1938","05","17.6","","3.1","","10.4","","27.8","","-4.4","","28.7","","2.5","","31.2","","","","","","",""
