"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1980-01","1980","01","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1980-02","1980","02","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1980-03","1980","03","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1980-04","1980","04","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1980-05","1980","05","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1980-06","1980","06","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1980-07","1980","07","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1980-08","1980","08","19.9","","11.0","","15.5","","30.0","","6.0","","45.9","","0.0","","45.9","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1980-09","1980","09","18.1","","9.9","","14.0","","24.5","","7.0","","80.1","","0.0","","80.1","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1980-10","1980","10","16.1","","6.6","","11.4","","24.5","","1.0","","51.4","","0.0","","51.4","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1980-11","1980","11","10.3","","4.9","","7.6","","19.5","","-1.0","S","266.1","","0.0","","266.1","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1980-12","1980","12","7.4","","2.9","","5.2","","16.0","","-9.5","","161.1","","23.8","","184.9","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1981-01","1981","01","9.1","","3.0","","6.1","","17.0","","-2.0","","51.4","","0.0","","51.4","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1981-02","1981","02","9.1","","2.6","","5.9","","14.5","","-7.0","","131.0","","1.5","","132.5","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1981-03","1981","03","12.6","","4.5","","8.6","","17.5","","-0.5","","99.2","","0.0","","99.2","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1981-04","1981","04","12.9","","5.5","","9.2","","19.5","S","0.5","","124.6","","0.0","T","124.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1981-05","1981","05","16.2","","8.6","","12.4","","24.5","","3.5","","81.3","","0.0","","81.3","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1981-06","1981","06","17.1","","10.1","","13.6","","23.0","","6.5","","168.6","","0.0","","168.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1981-07","1981","07","20.6","","12.3","","16.5","","27.0","","9.0","","69.8","","0.0","","69.8","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1981-08","1981","08","23.4","","13.0","","18.2","","33.0","S","9.0","S","17.3","","0.0","","17.3","","0","","","","",""
